SYMBOL,DART_TOTAL,DAYS,DART_AVG
IDBIGOLD,98.19995,3.0,32.73332
CENTURYPLY,9.949997,3.0,3.3166656
FCL,2.8500004,3.0,0.9500001
REVATHI,108.45001,3.0,36.150005
L&TINFRA,200.25989,16.0,12.516243
INDIGRID,1.4199982,3.0,0.47333273
BLKASHYAP,0.95000076,3.0,0.31666693
JINDWORLD,8.600002,3.0,2.8666675
CAREERP,15.449997,3.0,5.149999
KUANTUM,57.99997,3.0,19.333323
FDC,23.449997,3.0,7.8166656
FOCUS,0.0,2.0,0.0
NTL,0.25,3.0,0.083333336
ORTEL,0.20000005,3.0,0.066666685
GAYAHWS,0.15000004,3.0,0.050000012
BARTRONICS,0.099999905,3.0,0.0333333
MADHUCON,0.6500001,3.0,0.2166667
RUPA,29.999985,3.0,9.999995
BASML,18.299988,3.0,6.099996
JAIBALAJI,8.5,3.0,2.8333333
GILLETTE,104.200195,3.0,34.7334
ISFT,17.650002,3.0,5.8833337
JMA,6.3500004,3.0,2.1166668
UNIONBANK,4.3500023,3.0,1.4500008
NIBL,0.7000003,3.0,0.23333342
DCBBANK,22.449997,3.0,7.483332
BINDALAGRO,3.25,3.0,1.0833334
KMSUGAR,1.0999994,3.0,0.36666647
ISEC,58.350006,3.0,19.450003
FEL,3.0500011,3.0,1.016667
GMBREW,38.05005,3.0,12.68335
BEDMUTHA,0.9499998,3.0,0.3166666
SPAL,22.90001,3.0,7.6333365
NAGREEKEXP,2.699998,3.0,0.8999993
SRTRANSFIN,799.49,81.0,9.870247
KDDL,69.899994,3.0,23.299997
MARALOVER,2.750001,3.0,0.916667
SUNFLAG,4.350006,3.0,1.4500021
RICOAUTO,4.049999,3.0,1.3499998
HDFCSENETF,229.25,3.0,76.416664
KOTAKBKETF,17.449982,3.0,5.8166604
SHREECEM,1799.0508,3.0,599.6836
SUREVIN,0.0,1.0,0.0
VAISHALI,6.199997,3.0,2.0666656
KABRAEXTRU,12.000008,3.0,4.0000024
EMAMILTD,45.549988,3.0,15.18333
MAHICKRA,0.9500046,3.0,0.31666818
PREMIER,0.10000014,2.0,0.05000007
SETUINFRA,0.24999988,3.0,0.08333329
UMANGDAIRY,7.4000015,3.0,2.4666672
DPABHUSHAN,0.0,1.0,0.0
SGBDEC26,0.0,1.0,0.0
JAYNECOIND,0.7500005,3.0,0.25000015
INDIANB,8.25,3.0,2.75
ASTRON,3.9000015,3.0,1.3000005
CUMMINSIND,102.900024,3.0,34.300007
SANDESH,40.75,3.0,13.583333
TRITURBINE,4.0999985,3.0,1.3666662
BURNPUR,0.25,3.0,0.083333336
PRITI,12.0,1.0,12.0
BALAXI,30.199997,3.0,10.066666
BIOCON,29.799988,3.0,9.93333
RADAAN,0.100000024,2.0,0.050000012
ONMOBILE,2.4000034,3.0,0.80000114
RMCL,1.5499997,3.0,0.5166666
JKPAPER,9.649994,3.0,3.2166646
TCNSBRANDS,85.35004,3.0,28.450012
AUBANK,122.75,3.0,40.916668
GREAVESCOT,13.050003,3.0,4.350001
FAIRCHEM,51.649994,3.0,17.216665
SHREYANIND,16.399994,3.0,5.466665
NAHARINDUS,5.549999,3.0,1.8499998
AMRUTANJAN,48.599976,3.0,16.199991
INSPIRISYS,7.700001,3.0,2.5666668
JAYBARMARU,25.149994,3.0,8.383331
GENUSPOWER,2.8499985,3.0,0.9499995
PUNJLLOYD,0.30000007,3.0,0.100000024
BHAGYANGR,4.050001,3.0,1.3500004
REPRO,60.099976,3.0,20.033325
KNRCON,35.849976,3.0,11.949992
PATSPINLTD,0.4500003,3.0,0.1500001
ORISSAMINE,310.45007,3.0,103.48336
STARCEMENT,11.849998,3.0,3.9499996
CENTRALBK,3.6999989,3.0,1.233333
TCIFINANCE,1.2499986,3.0,0.41666618
APLLTD,51.75,3.0,17.25
INDOTHAI,3.2999992,3.0,1.0999998
IBULISL,20.349998,3.0,6.783333
ARIHANTSUP,4.5,3.0,1.5
WILLAMAGOR,2.5,3.0,0.8333333
BANDHANBNK,50.600006,3.0,16.866669
LUXIND,153.69995,3.0,51.23332
SGBNOV258,0.0,2.0,0.0
SCI,5.699997,3.0,1.899999
SURANI,0.0,2.0,0.0
SKMEGGPROD,5.4500046,3.0,1.8166682
BOROSIL,19.550003,3.0,6.516668
SURYAROSNI,17.949982,3.0,5.9833274
